Year,Tm,W,L,R/G,Runs,Hits,Stolen Bases,BA,Struck Out,TB,SV,Hits Allowed,Runs Allowed,Strike Outs,ERA,ER,Rtot,DefEff,Winner
2012,COL,64,98,4.68,758,1526,100,0.27399999999999997,1213,2434,36,1637,890,1144,5.22,824,-67,0.657,0
2012,DET,88,74,4.48,726,1467,59,0.268,1103,2313,40,1409,670,1318,3.75,596,-60,0.6779999999999999,0
2012,HOU,55,107,3.6,583,1276,105,0.23600000000000002,1365,2008,31,1493,794,1170,4.56,721,-74,0.675,0
2012,KCR,72,90,4.17,676,1492,132,0.265,1032,2254,44,1504,746,1177,4.3,693,-49,0.6729999999999999,0
2012,LAA,89,73,4.73,767,1518,134,0.27399999999999997,1113,2396,38,1339,699,1157,4.02,640,36,0.708,0
2012,LAD,86,76,3.93,637,1369,104,0.252,1156,2032,40,1277,597,1276,3.34,538,9,0.7020000000000001,0
2012,MIA,69,93,3.76,609,1327,149,0.244,1228,2077,38,1448,724,1113,4.09,655,-4,0.685,0
2012,MIL,83,79,4.79,776,1442,158,0.259,1240,2426,44,1458,733,1402,4.22,682,-29,0.672,0
2012,MIN,66,96,4.33,701,1448,135,0.26,1069,2171,35,1536,832,943,4.77,762,-21,0.69,0
2012,NYM,74,88,4.01,650,1357,79,0.249,1250,2102,36,1368,709,1240,4.09,651,-10,0.6940000000000001,0
2012,NYY,95,67,4.96,804,1462,93,0.265,1176,2503,51,1401,668,1318,3.84,617,-18,0.693,0
2012,OAK,94,68,4.4,713,1315,122,0.23800000000000002,1387,2231,47,1360,614,1136,3.48,569,20,0.7040000000000001,0
2012,PHI,81,81,4.22,684,1414,116,0.255,1094,2215,42,1387,680,1385,3.83,618,-28,0.6859999999999999,0
2012,PIT,79,83,4.02,651,1313,73,0.243,1354,2138,45,1357,674,1192,3.86,615,-24,0.6970000000000001,0
2012,SDP,76,86,4.02,651,1339,155,0.247,1238,2060,43,1356,710,1205,4.01,640,-38,0.6970000000000001,0
2012,SEA,75,87,3.82,619,1285,104,0.23399999999999999,1259,2027,43,1359,651,1166,3.76,608,-4,0.7070000000000001,0
2012,SFG,94,68,4.43,718,1495,118,0.26899999999999996,1097,2205,53,1361,649,1237,3.68,593,-10,0.693,1
2012,STL,88,74,4.72,765,1526,91,0.271,1192,2367,42,1420,648,1218,3.71,603,-8,0.6859999999999999,0
2012,TBR,90,72,4.3,697,1293,134,0.24,1323,2128,50,1233,577,1383,3.19,518,-8,0.7040000000000001,0
2012,TEX,93,69,4.99,808,1526,91,0.273,1103,2493,43,1378,707,1286,3.99,639,6,0.6940000000000001,0
2012,TOR,73,89,4.42,716,1346,123,0.245,1251,2231,29,1439,784,1142,4.64,745,72,0.6940000000000001,0
2012,WSN,98,64,4.51,731,1468,105,0.261,1325,2401,51,1296,594,1325,3.33,543,37,0.7020000000000001,0
2013,ARI,81,81,4.23,685,1468,62,0.259,1142,2222,38,1460,695,1218,3.92,651,38,0.6970000000000001,0
2013,ATL,96,66,4.25,688,1354,64,0.249,1384,2186,53,1326,548,1232,3.18,512,62,0.7,0
2013,BAL,85,77,4.6,745,1460,79,0.26,1125,2422,57,1438,709,1169,4.2,678,18,0.701,0
2013,BOS,97,65,5.27,853,1566,123,0.27699999999999997,1308,2521,33,1366,656,1294,3.79,613,21,0.6940000000000001,1
2013,CHC,66,96,3.72,602,1307,63,0.23800000000000002,1230,2156,39,1332,689,1184,4.0,643,21,0.706,0
2013,CHW,63,99,3.69,598,1385,105,0.249,1207,2104,40,1424,723,1249,3.98,643,-65,0.687,0
2013,CIN,90,72,4.31,698,1370,67,0.249,1245,2149,43,1294,589,1296,3.38,554,88,0.715,0
2013,CLE,92,70,4.6,745,1391,117,0.255,1283,2240,38,1359,662,1379,3.82,611,-14,0.6829999999999999,0
2013,COL,74,88,4.36,706,1511,112,0.27,1204,2343,35,1545,760,1064,4.44,708,-5,0.674,0
2013,DET,93,69,4.91,796,1625,35,0.28300000000000003,1073,2491,39,1369,624,1428,3.61,587,-53,0.682,0
2013,HOU,51,111,3.77,610,1307,110,0.24,1535,2049,32,1530,848,1084,4.79,766,-70,0.679,0
2013,KCR,86,76,4.0,648,1443,153,0.26,1048,2101,52,1366,601,1208,3.45,555,56,0.698,0
2013,LAA,78,84,4.52,733,1476,82,0.264,1221,2316,41,1475,737,1200,4.23,685,-45,0.6829999999999999,0
2013,LAD,92,70,4.01,649,1447,78,0.264,1146,2176,46,1321,582,1292,3.25,524,27,0.6920000000000001,0
2013,MIA,62,100,3.17,513,1257,78,0.231,1232,1823,36,1376,646,1177,3.71,602,10,0.695,0
2013,MIL,74,88,3.95,640,1381,142,0.252,1183,2176,40,1401,687,1125,3.84,615,18,0.6970000000000001,0
2013,MIN,66,96,3.79,614,1346,52,0.242,1430,2114,40,1591,788,985,4.55,733,-47,0.679,0
